user_pseudo_id,experiment_number,experiment_group,name,medium,country,mobile_model_name,operating_system_version
3af0bda4a834624d21996504e7a445a9,46,1,,organic,Russia,,Android 11
41e385d4a0156bb7335af770ec13be26,46,0,,organic,United States,,Android 13
67612df13f297c1562af2864185a44ca,46,0,,organic,Russia,,Android 13
6873c8dfbcbd77b1a7ff62df4e483315,46,1,(direct),(none),Hong Kong,,Android 15
8aa6d58adcb02c2d53ff6b3be99cefde,46,1,(direct),(none),Spain,,Android 15
8e0089099e29d3e4a210a6be0a58671d,46,1,,organic,Germany,,Android 13
b014560a14aa8e564e1fcdb7d20c3c1e,46,1,HEX (GA) - Globe #adROAS,cpc,United Kingdom,,Android 12
b702662e905b4c7980eb22cc357b0b4d,46,1,HEX (GA) - T1 #adROAS,cpc,Japan,,Android 15
bae6256c171c7067a03c52051edc8090,46,1,HEX (GA) - Globe #adROAS,cpc,South Korea,,Android 13
dc230175385454019a9a35c017ebca8b,46,1,(direct),(none),Hungary,,Android 14
ef13a7617af2cb9debdec38d3e270ffa,46,0,,organic,Poland,,Android 12
f38eb8e4aa8d2e020bb8c7eff51a5575,46,1,(direct),(none),Japan,,Android 15
2850d147ab50cd2d02bf5806c4ffaba7,46,0,HEX (GA) - T1 #adROAS,cpc,United States,ONN,Android 14
2483f8d4c00ff99312a385638eee133d,46,0,(direct),(none),United States,ONN,Android 13
20116eefe337cd3aa491ceb482c4e2e3,46,1,,organic,Malaysia,Vivo,Android 11
5794f77fc789e32abcd904bbcc35b23c,46,0,(direct),(none),Ukraine,Vivo,Android 11
9be417e79b5540a19a67b239af723c62,46,1,,organic,Indonesia,Vivo,Android 11
99cd7e1330e5340c1e154f35860d7252,46,0,,cpc,Ukraine,Xiaomi,Android 13
9c0c031cd37b1374b814fee11f41e014,46,0,,cpc,Ukraine,Xiaomi,Android 13
e630bf2f4d0d0091afac590c799d0d76,46,0,,cpc,Ukraine,Xiaomi,Android 13
034df83f84f6e7f4e9e9068cd56fc388,46,0,(direct),(none),Germany,Xiaomi,Android 13
67290155ef6054d6ef1e7c7dd46cc2f0,46,1,,organic,Russia,Xiaomi,Android 13
2142a52345fd492e47be0b21cc78eb74,46,1,,organic,Germany,Xiaomi,Android 14
4b14b68b277ff6043d799a913ceb974b,46,1,(direct),(none),France,Xiaomi,Android 14
855eb0b31a34e220775b8c5644e23152,46,1,,cpc,Vietnam,Xiaomi,Android 14
9322598edc9818e6e2b24f3597603dda,46,0,,organic,Czechia,Xiaomi,Android 14
ad8eeef5c50b186e74258bbcfd97fe61,46,1,,organic,Russia,Xiaomi,Android 13
e395fcf7db53878decc196000b2a68a4,46,1,,cpc,Germany,Xiaomi,Android 14
edc7a762f29c93cc50c7845cd1f20a8e,46,1,,organic,Germany,Xiaomi,Android 14
1db1810c1cd75abd496b7e0d24bcf271,46,0,(direct),(none),Hungary,Xiaomi,Android 11
75bad004246b1fd10b0cf163bed02102,46,1,,organic,Switzerland,Xiaomi,Android 13
ae156509a8475128a81a8a8d1bdd7905,46,0,(direct),(none),Lithuania,Xiaomi,Android 13
c8f646390a8d28d6666d6aefb7c86983,,,(direct),(none),Myanmar (Burma),Xiaomi,Android 14
