user_pseudo_id,revenue_sum,ad_impression_count,max_time_in_game,max_session_number,max_world,max_level
000c3da1f60be491ece164ed5ee7ee78,0.05846473481506109,9,2150859.0,60,5,4
001331a8e2bf4a216616cbd6ec454392,0.14822533912956715,5,1324971.0,144,8,6
0015d8225f0b59703ceb53adb9380711,0.14262066781520844,11,1278343.0,71,4,8
002BC6EBE270415C958B42E8733567E2,0.0219622492313385,22,1733420456.0,299,7,0
0037f82363b8f02c72d1570029adb734,0.02849388518370688,7,193631.0,62,2,3
00610BE6E0604F329EBAB867669E0E95,0.3077356719970704,6,3469362585.0,80,4,0
0084fd96ffd3983414228124fc6c3e02,0.012912779115140438,3,93696.0,2,1,5
008c04c89c0be6233eeb6d603ffca54d,0.03338170889765024,17,193583.0,53,5,6
00947957710b88080b9c4f51d40b28e4,0.12194440886378288,33,49117.0,18,2,2
00a2cd71b84591b77b612c474d83f561,0.08193753799423575,9,304043.0,17,2,1
00e1f40b17b9963e1a2816a08a10cb99,0.5523891597986221,17,10714.0,3,1,6
00f17c0ce3c9852e91a4e346d51aa960,0.7480626683682203,26,227530.0,60,3,0
00f41a795576b1d375f110a39f934df2,0.052211010828614235,2,833257.0,165,5,1
01095ee3b0488f977cd9a2de04b0a70c,0.011942944955080748,2,2745972.0,147,2,8
010bdac6103bf27c2ecb59702cbf91a3,0.02188375568948686,7,400974.0,29,4,9
01118f85a16e2f3ab3cbf24dfed1ae89,0.010777047602459788,9,20024.0,8,2,1
011a12bf72c9fff35d9580af7cc794fc,0.008421030623139814,14,1190011.0,22,14,4
01216d291e22c95cc1351bbfcaa4d0a0,0.0647522509098053,14,5424610.0,48,4,2
0130f876c88125563a1e2d7d00e4677e,0.13893233332782984,10,1814197.0,182,13,3
01323c89786016fb29e0d817101378ac,0.08722583262715489,57,2251509.0,398,8,1
014001ecf727dc3ffc687942ea437e88,0.09903508401475847,18,28387251.0,50,3,9
015e001e07019aeabff26e53e4797c72,0.08638067170977592,6,690075.0,52,5,4
0161fc48194fb431aa47c91b6c10cab8,0.0013309308560565114,1,1360292.0,261,7,0
016f1723f402a0fba2665753bc4c2ec9,0.0033114515244960785,1,1784.0,3,1,5
018e934982b49631ec923f6328854444,0.13447048515081406,18,47241.0,13,2,2
019e9daaa0529581225680100db48808,0.011875540483742952,2,218706.0,55,4,0
01a39dd3e0ade1e2b71da3a284e3d5dc,0.06103680841624737,20,2253078.0,451,13,4
01a61a5ed4cfcf2c0280dfdbb2dec66b,0.04515201412141323,10,448414.0,213,6,6
01b45be124460e1a1fc8a4dc1bca8916,0.3316175281070173,27,385800.0,109,6,6
01bc7aa40fcafad4e405a21df1c97ee1,0.1152506098151207,1,11856135.0,1,,
01c18286b645075007f30545642a7bd8,0.18886170675978065,27,34674.0,8,2,4
01e625f9f34cd03bbc329bf1b5942031,0.3051085234619677,30,1731623.0,218,8,8
01fdbef96f8bc7d041978b467dc473f1,0.014233257621526718,1,,34,,
02020a5b8e4fa43f715bec4107f23f8e,0.03825836046598852,7,527266.0,122,5,1
020cebf71a0fc93635d5ebb29631a0cf,0.10518683429108933,77,2193705.0,140,6,4
